Question,Answer,Notes
What is the author ID of Yulia Tsvetkov?,2073587169,##Title: Mitigating Societal Harms in Large Language Models
What is the H-index of Yulia Tsvetkov?,17,##Title: Mitigating Societal Harms in Large Language Models
What is the semantic scholar author name of Yulia Tsvetkov?,Yulia Tsvetkov,##Title: Mitigating Societal Harms in Large Language Models
What is the semantic scholar author name of Yulia Tsvetkov?,https://www.semanticscholar.org/author/2073587169,##Title: Mitigating Societal Harms in Large Language Models
What is the affiliation of Yulia Tsvetkov?,"LTI (CMU), No other affiliations",##Title: Mitigating Societal Harms in Large Language Models
What is the paper ID of the paper Mitigating Societal Harms in Large Language Models?,cb0335107f12d331ace2cbf220eb3c7bdcf653c5,##Title: Mitigating Societal Harms in Large Language Models
What are the external IDs of the paper Mitigating Societal Harms in Large Language Models?,"{'DOI': '10.18653/v1/2023.emnlp-tutorial.5', 'CorpusId': 266181225}",##Title: Mitigating Societal Harms in Large Language Models
What is the URL of the paper Mitigating Societal Harms in Large Language Models?,https://www.semanticscholar.org/paper/cb0335107f12d331ace2cbf220eb3c7bdcf653c5,##Title: Mitigating Societal Harms in Large Language Models
What is the abstract of the paper 'Mitigating Societal Harms in Large Language Models'?,",",##Title: Mitigating Societal Harms in Large Language Models
In which venue was the paper 'Mitigating Societal Harms in Large Language Models' published?,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing: Tutorial Abstracts,##Title: Mitigating Societal Harms in Large Language Models
In what year was the paper 'Mitigating Societal Harms in Large Language Models' published?,2023,##Title: Mitigating Societal Harms in Large Language Models
How many references are in the paper 'Mitigating Societal Harms in Large Language Models'?,66,##Title: Mitigating Societal Harms in Large Language Models
How many citations does the paper 'Mitigating Societal Harms in Large Language Models' have?,0,##Title: Mitigating Societal Harms in Large Language Models
What is the citation count of 'Mitigating Societal Harms in Large Language Models' have?,0,##Title: Mitigating Societal Harms in Large Language Models
How many influential citations does the paper 'Mitigating Societal Harms in Large Language Models' have?,0,##Title: Mitigating Societal Harms in Large Language Models
Is the paper 'Mitigating Societal Harms in Large Language Models' open access?,Yes,##Title: Mitigating Societal Harms in Large Language Models
What is the open access PDF URL of the paper titled 'Mitigating Societal Harms in Large Language Models'?,https://aclanthology.org/2023.emnlp-tutorial.5.pdf,##Title: Mitigating Societal Harms in Large Language Models
What are the fields of study for the paper 'Mitigating Societal Harms in Large Language Models'?,fields not available,##Title: Mitigating Societal Harms in Large Language Models
What is the journal name for the paper 'Mitigating Societal Harms in Large Language Models'?,Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing: Tutorial Abstracts,##Title: Mitigating Societal Harms in Large Language Models
Who are the authors of the paper 'Mitigating Societal Harms in Large Language Models'?,"Sachin Kumar, Vidhisha Balachandran, Lucille Njoo, Antonios Anastasopoulos, Yulia Tsvetkov",##Title: Mitigating Societal Harms in Large Language Models
Who is the first author of the paper 'Mitigating Societal Harms in Large Language Models'?,Sachin Kumar,##Title: Mitigating Societal Harms in Large Language Models
What is the TLDR summary of the paper 'Mitigating Societal Harms in Large Language Models'?,,##Title: Mitigating Societal Harms in Large Language Models
