Question,Answer,Notes
What is the name of this paper?,Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the author ID of Shinji Watanabe?,1746678,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the H-index of Shinji Watanabe?,67,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the paper ID of the paper Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization?,10e8dc07ea256c6a88d7043cf135417402ed38f4,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What are the external IDs of the paper Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization?,"{'DBLP': 'journals/corr/abs-2305-11095', 'ArXiv': '2305.11095', 'DOI': '10.48550/arXiv.2305.11095', 'CorpusId': 258762742}","##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the URL of the paper Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization?,https://www.semanticscholar.org/paper/10e8dc07ea256c6a88d7043cf135417402ed38f4,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the abstract of the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization'?,"We investigate the emergent abilities of the recently proposed web-scale speech model Whisper, by adapting it to unseen tasks with prompt engineering. We selected three tasks: audio-visual speech recognition (AVSR), code-switched speech recognition (CS-ASR), and speech translation (ST) on unseen language pairs. We design task-specific prompts, by either leveraging another large-scale model, or simply manipulating the special tokens in the default prompts. Experiments show that compared to the default prompts, our proposed prompts improve performance by 10% to 45% on the three zero-shot tasks, and even outperform SotA supervised models on some datasets. In addition, our experiments reveal many interesting properties of Whisper, including its robustness to prompts, bias on accents, and the multilingual understanding in its latent space. Code is available at https://github.com/jasonppy/PromptingWhisper","##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
In which venue was the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization' published?,Interspeech,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
In what year was the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization' published?,2023,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
How many references are in the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization'?,36,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
How many citations does the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization' have?,17,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the citation count of 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization' have?,17,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
How many influential citations does the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization' have?,1,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
Is the paper 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization' open access?,Yes,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
What is the open access PDF URL of the paper titled 'Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization'?,https://arxiv.org/pdf/2305.11095,"##Author: Shinji Watanabe, ##Title: Prompting the Hidden Talent of Web-Scale Speech Models for Zero-Shot Task Generalization"
