Question,Answer,Notes
What is the name of this paper?,Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the author ID of Lori S Levin?,1686960,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the H-index of Lori S Levin?,34,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the semantic scholar author name of Lori S Levin?,Lori S. Levin,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the semantic scholar author name of Lori S Levin?,https://www.semanticscholar.org/author/1686960,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the affiliation of Lori S Levin?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the paper ID of the paper Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient?,2cdc646a6b70418e7cbd7fbdb8bb113176c4659f,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What are the external IDs of the paper Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient?,"{'DOI': '10.1016/j.brainres.2023.148262', 'CorpusId': 256195620, 'PubMed': '36706858'}","##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the URL of the paper Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient?,https://www.semanticscholar.org/paper/2cdc646a6b70418e7cbd7fbdb8bb113176c4659f,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
What is the abstract of the paper 'Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient'?,None,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
In which venue was the paper 'Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient' published?,Brain Research,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
In what year was the paper 'Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient' published?,2023,"##Author: Lori S Levin, ##Title: Somatosensory and motor representations following bilateral transplants of the hands: A 6-year longitudinal case report on the first pediatric bilateral hand transplant patient"
