Question,Answer,Notes
What is the name of this paper?,Structured Dialogue Discourse Parsing,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the author ID of Alexander Rudnicky?,1783635,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the H-index of Alexander Rudnicky?,42,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the semantic scholar author name of Alexander Rudnicky?,Alexander I. Rudnicky,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the semantic scholar author name of Alexander Rudnicky?,https://www.semanticscholar.org/author/1783635,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the affiliation of Alexander Rudnicky?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the paper ID of the paper Structured Dialogue Discourse Parsing?,2670612b5e11297cd9b98f4d7ff796725f77fe35,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What are the external IDs of the paper Structured Dialogue Discourse Parsing?,"{'DBLP': 'conf/sigdial/ChiR22', 'ArXiv': '2306.15103', 'ACL': '2022.sigdial-1.32', 'DOI': '10.48550/arXiv.2306.15103', 'CorpusId': 252847494}","##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the URL of the paper Structured Dialogue Discourse Parsing?,https://www.semanticscholar.org/paper/2670612b5e11297cd9b98f4d7ff796725f77fe35,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the abstract of the paper 'Structured Dialogue Discourse Parsing'?,"Dialogue discourse parsing aims to uncover the internal structure of a multi-participant conversation by finding all the discourse links and corresponding relations. Previous work either treats this task as a series of independent multiple-choice problems, in which the link existence and relations are decoded separately, or the encoding is restricted to only local interaction, ignoring the holistic structural information. In contrast, we propose a principled method that improves upon previous work from two perspectives: encoding and decoding. From the encoding side, we perform structured encoding on the adjacency matrix followed by the matrix-tree learning algorithm, where all discourse links and relations in the dialogue are jointly optimized based on latent tree-level distribution. From the decoding side, we perform structured inference using the modified Chiu-Liu-Edmonds algorithm, which explicitly generates the labeled multi-root non-projective spanning tree that best captures the discourse structure. In addition, unlike in previous work, we do not rely on hand-crafted features; this improves the model’s robustness. Experiments show that our method achieves new state-of-the-art, surpassing the previous model by 2.3 on STAC and 1.5 on Molweni (F1 scores).","##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
In which venue was the paper 'Structured Dialogue Discourse Parsing' published?,SIGDIAL Conferences,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
In what year was the paper 'Structured Dialogue Discourse Parsing' published?,2023,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
How many references are in the paper 'Structured Dialogue Discourse Parsing'?,64,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
How many citations does the paper 'Structured Dialogue Discourse Parsing' have?,4,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the citation count of 'Structured Dialogue Discourse Parsing' have?,4,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
How many influential citations does the paper 'Structured Dialogue Discourse Parsing' have?,1,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
Is the paper 'Structured Dialogue Discourse Parsing' open access?,Yes,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the open access PDF URL of the paper titled 'Structured Dialogue Discourse Parsing'?,http://arxiv.org/pdf/2306.15103,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What are the fields of study for the paper titled 'Structured Dialogue Discourse Parsing'?,Computer Science,"##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the journal name for the paper titled 'Structured Dialogue Discourse Parsing'?,"ArXiv, volume: abs/2306.15103; ArXiv","##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
Who are the authors of the paper 'Structured Dialogue Discourse Parsing'?,"Ta-Chung Chi, Alexander I. Rudnicky","##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
What is the TLDR summary of the paper 'Structured Dialogue Discourse Parsing'?,"This work proposes a principled method that improves upon previous work from two perspectives: encoding and decoding and achieves new state-of-the-art results, surpassing the previous model by 2.3 on STAC and 1.5 on Molweni (F1 scores).","##Author: Alexander Rudnicky, ##Title: Structured Dialogue Discourse Parsing"
