Question,Answer,Notes
What is the author ID of Matthias Grabmair?,2869551,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the H-index of Matthias Grabmair?,13,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the semantic scholar author name of Matthias Grabmair?,Matthias Grabmair,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the semantic scholar author name of Matthias Grabmair?,https://www.semanticscholar.org/author/2869551,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the affiliation of Matthias Grabmair?,"LTI (CMU), No other affiliations",##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the paper ID of the paper Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases?,5315883bd39a4e4af6332e344bb32d29613b3c97,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What are the external IDs of the paper Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases?,"{'ACL': '2023.findings-eacl.44', 'DBLP': 'journals/corr/abs-2302-00609', 'ArXiv': '2302.00609', 'DOI': '10.48550/arXiv.2302.00609', 'CorpusId': 256826728}",##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the URL of the paper Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases?,https://www.semanticscholar.org/paper/5315883bd39a4e4af6332e344bb32d29613b3c97,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the abstract of the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,"In this paper, we cast Legal Judgment Prediction on European Court of Human Rights cases into an article-aware classification task, where the case outcome is classified from a combined input of case facts and convention articles. This configuration facilitates the model learning some legal reasoning ability in mapping article text to specific case fact text. It also provides an opportunity to evaluate the model’s ability to generalize to zero-shot settings when asked to classify the case outcome with respect to articles not seen during training. We devise zero-shot experiments and apply domain adaptation methods based on domain discrimination and Wasserstein distance. Our results demonstrate that the article-aware architecture outperforms straightforward fact classification. We also find that domain adaptation methods improve zero-shot transfer performance, with article relatedness and encoder pre-training influencing the effect.",##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
In which venue was the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases' published?,Findings,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
In what year was the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases' published?,2023,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
How many references are in the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,71,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
How many citations does the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases' have?,5,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the citation count of 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases' have?,5,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
How many influential citations does the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases' have?,0,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
Is the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases' open access?,Yes,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the open access PDF URL of the paper titled 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,http://arxiv.org/pdf/2302.00609,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What are the fields of study for the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,Computer Science,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the journal name for the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,"Findings, pages: 593-605; Findings",##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
Who are the authors of the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,"Santosh T.Y.S.S, O. Ichim, Matthias Grabmair",##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
Who is the first author of the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,Santosh T.Y.S.S,##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
What is the TLDR summary of the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,"This paper casts Legal Judgment Prediction on European Court of Human Rights cases into an article-aware classification task, where the case outcome is classified from a combined input of case facts and convention articles, and finds that domain adaptation methods improve zero-shot transfer performance.",##Title: Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases
