Question,Answer,Notes
What is the author ID of William Cohen?,50056360,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the H-index of William Cohen?,88,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the semantic scholar author name of William Cohen?,William W. Cohen,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the semantic scholar url of William Cohen?,https://www.semanticscholar.org/author/50056360,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What are affiliation of William Cohen?,Google,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the paper ID of the paper MEMORY-VQ: Compression for Tractable Internet-Scale Memory?,646cca9de110726000a6e44560743b241a4d7f91,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What are the external IDs of the paper MEMORY-VQ: Compression for Tractable Internet-Scale Memory?,"{'DBLP': 'journals/corr/abs-2308-14903', 'ArXiv': '2308.14903', 'DOI': '10.48550/arXiv.2308.14903', 'CorpusId': 261276895}",##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the URL of the paper MEMORY-VQ: Compression for Tractable Internet-Scale Memory?,https://www.semanticscholar.org/paper/646cca9de110726000a6e44560743b241a4d7f91,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the abstract of the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,"Retrieval augmentation is a powerful but expensive method to make language models more knowledgeable about the world. Memory-based methods like LUMEN pre-compute token representations for retrieved passages to drastically speed up inference. However, memory also leads to much greater storage requirements from storing pre-computed representations. We propose MEMORY-VQ, a new method to reduce storage requirements of memory-augmented models without sacrificing performance. Our method uses a vector quantization variational autoencoder (VQ-VAE) to compress token representations. We apply MEMORY-VQ to the LUMEN model to obtain LUMEN-VQ, a memory model that achieves a 16x compression rate with comparable performance on the KILT benchmark. LUMEN-VQ enables practical retrieval augmentation even for extremely large retrieval corpora.",##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
In which venue was the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory' published?,arXiv.org,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
In what year was the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory' published?,2023,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
How many references are in the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,44,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
How many citations does the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory' have?,0,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the citation count of 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory' have?,0,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
How many influential citations does the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory' have?,0,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
Is the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory' open access?,Yes,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the open access PDF URL of the paper titled 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,https://arxiv.org/pdf/2308.14903,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What are the fields of study for the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,Computer Science,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the journal name for the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,"ArXiv, volume: abs/2308.14903; ArXiv",##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
Who are the authors of the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,"Yury Zemlyanskiy, Michiel de Jong, L. Vilnis, Santiago Ontan'on, William W. Cohen, Sumit K. Sanghai, J. Ainslie",##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
Who is the first author of the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,Yury Zemlyanskiy,##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
What is the TLDR summary of the paper 'MEMORY-VQ: Compression for Tractable Internet-Scale Memory'?,"This work proposes MEMORY-VQ, a new method to reduce storage requirements of memory-augmented models without sacrificing performance, which uses a vector quantization variational autoencoder (VQ-VAE) to compress token representations.",##Title: MEMORY-VQ: Compression for Tractable Internet-Scale Memory
