Question,Answer,Notes
What is the name of this paper?,Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the author ID of Shinji Watanabe?,1746678,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the H-index of Shinji Watanabe?,67,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the semantic scholar author name of Shinji Watanabe?,Shinji Watanabe,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the semantic scholar author name of Shinji Watanabe?,https://www.semanticscholar.org/author/1746678,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the affiliation of Shinji Watanabe?,"LTI (CMU), No other affiliations on Semantic Scholar","##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the paper ID of the paper Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data?,d43338451cd8676548811e1ff8f9c92ea987c5bd,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What are the external IDs of the paper Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data?,"{'DBLP': 'journals/corr/abs-2309-13876', 'ArXiv': '2309.13876', 'DOI': '10.1109/ASRU57964.2023.10389676', 'CorpusId': 262465225}","##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the URL of the paper Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data?,https://www.semanticscholar.org/paper/d43338451cd8676548811e1ff8f9c92ea987c5bd,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the abstract of the paper 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data'?,"Pre-training speech models on large volumes of data has achieved remarkable success. OpenAI Whisper is a multilingual multitask model trained on 680k hours of supervised speech data. It generalizes well to various speech recognition and translation benchmarks even in a zero-shot setup. However, the full pipeline for developing such models (from data collection to training) is not publicly accessible, which makes it difficult for researchers to further improve its performance and address training-related issues such as efficiency, robustness, fairness, and bias. This work presents an Open Whisper-style Speech Model (OWSM), which reproduces Whisperstyle training using an open-source toolkit and publicly available data. OWSM even supports more translation directions and can be more efficient to train. We will publicly release all scripts used for data preparation, training, inference, and scoring as well as pretrained models and training logs to promote open science. 11https://github.com/espnet/espnet","##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
In which venue was the paper 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data' published?,Automatic Speech Recognition & Understanding,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
In what year was the paper 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data' published?,2023,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
How many references are in the paper 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data'?,70,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
How many citations does the paper 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data' have?,1,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
What is the citation count of 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data' have?,1,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
How many influential citations does the paper 'Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data' have?,0,"##Author: Shinji Watanabe, ##Title: Reproducing Whisper-Style Training Using An Open-Source Toolkit And Publicly Available Data"
